Date,Open,High,Low,Close,Adj Close,Volume
2020-07-29,107.099998,108.650002,104.849998,105.800003,105.800003,3050391
2020-07-30,106.150002,106.750000,103.000000,103.699997,103.699997,2137259
2020-07-31,103.900002,105.400002,102.349998,104.699997,104.699997,2420006
2020-08-03,103.400002,114.400002,103.000000,113.050003,113.050003,15667312
2020-08-04,113.050003,115.099998,110.800003,111.400002,111.400002,5067642
2020-08-05,112.000000,117.650002,111.949997,115.500000,115.500000,4145395
2020-08-06,115.599998,117.699997,115.500000,116.800003,116.800003,3698124
2020-08-07,117.000000,119.699997,116.250000,119.099998,119.099998,2591596
2020-08-10,119.949997,124.650002,119.550003,123.800003,123.800003,5372280
2020-08-11,124.750000,125.750000,121.449997,122.300003,122.300003,2149180
2020-08-12,121.349998,126.349998,120.650002,125.300003,125.300003,2389349
2020-08-13,126.550003,131.800003,124.349998,131.100006,131.100006,5537095
2020-08-14,131.850006,132.600006,123.750000,124.550003,124.550003,4055261
2020-08-17,124.750000,126.300003,120.699997,123.500000,123.500000,3380248
2020-08-18,124.000000,127.500000,123.599998,125.599998,125.599998,3056734
2020-08-19,127.300003,127.599998,124.750000,125.150002,125.150002,4228289
2020-08-20,123.699997,125.650002,121.250000,121.699997,121.699997,2741368
2020-08-21,123.949997,124.300003,120.199997,120.949997,120.949997,2204272
2020-08-24,121.500000,122.949997,120.800003,121.199997,121.199997,2362543
2020-08-25,121.550003,128.300003,121.400002,127.050003,127.050003,4641160
2020-08-26,129.800003,139.000000,128.399994,137.850006,137.850006,9507010
2020-08-27,139.850006,146.800003,139.350006,144.350006,144.350006,8473638
2020-08-28,143.250000,146.149994,137.000000,142.699997,142.699997,7010665
2020-08-31,145.000000,147.899994,138.250000,143.199997,143.199997,6422588
2020-09-01,144.000000,145.100006,140.399994,143.800003,143.800003,2247315
2020-09-02,145.449997,151.800003,141.500000,150.399994,150.399994,3021832
2020-09-03,151.600006,155.149994,149.699997,151.750000,151.750000,6791110
2020-09-04,147.399994,153.600006,146.000000,147.750000,147.750000,5149109
2020-09-07,150.000000,152.000000,148.100006,149.350006,149.350006,3850308
2020-09-08,149.500000,149.699997,141.199997,142.250000,142.250000,3355452
2020-09-09,141.000000,141.699997,135.750000,140.250000,140.250000,3186166
2020-09-10,142.600006,144.250000,138.000000,143.250000,143.250000,4233177
2020-09-11,143.000000,146.699997,141.699997,144.300003,144.300003,3077106
2020-09-14,147.500000,151.000000,145.500000,148.399994,148.399994,5280050
2020-09-15,149.600006,149.600006,146.550003,148.300003,148.300003,2031221
2020-09-16,149.050003,154.250000,148.600006,151.600006,151.600006,3611848
